Gene ID	2dpi	2dpi	3dpi	3dpi
PITG_22119	0.0	0.0	10.36	9.89
PITG_22069	0.0	0.0	7.51	7.59
PITG_22111	0.0	0.0	0.68	0.43
PITG_22112	0.0	0.0	1.01	0.96
PITG_22113	10.04	0.0	4.03	4.2
PITG_22077	0.0	0.0	1.29	1.35
PITG_22085	0.0	0.0	1.39	1.89
PITG_22105	28.38	37.56	32.62	37.77
PITG_22062	0.0	4.79	0.7	0.61
PITG_22103	24.17	38.07	17.46	22.46
PITG_22132	0.0	10.78	9.28	12.14
PITG_22121	10.15	0.0	1.16	1.46
PITG_22095	7.22	20.47	7.62	9.79
PITG_22091	100.71	58.58	62.37	65.63
PITG_22124	8.75	11.82	8.56	8.48
PITG_22125	35.96	42.48	18.66	12.59
PITG_22063	0.0	0.0	16.96	18.7
PITG_22045	36.36	34.37	0.58	1.48
PITG_22076	0.0	0.0	4.25	5.78
PITG_22048	0.0	0.0	3.52	3.8
PITG_22047	5.58	0.0	1.31	0.94
PITG_22016	78.44	53.92	101.58	97.28
PITG_22017	0.0	0.0	3.37	3.96
PITG_22020	118.02	61.35	75.39	80.78
PITG_22040	28.23	17.79	7.45	4.05
PITG_21877	15.83	0.0	1.09	0.57
PITG_21878	0.0	0.0	0.93	0.89
PITG_21879	21.5	5.08	18.49	17.88
PITG_21880	4.87	27.64	1.29	3.21
PITG_22015	0.0	6.89	1.25	1.4
PITG_21697	29.36	41.62	28.78	38.64
PITG_21646	0.0	7.06	3.43	2.24
PITG_22001	0.0	0.0	1.41	0.7
PITG_21693	0.0	0.0	5.46	8.44
PITG_21694	0.0	0.0	2.01	0.87
PITG_21973	0.0	7.64	1.67	2.13
PITG_21929	50.86	13.11	10.18	11.78
PITG_21874	0.0	0.0	1.23	1.77
PITG_21875	0.0	7.92	0.62	0.85
PITG_21876	0.0	0.0	3.23	3.31
PITG_21923	0.0	0.0	0.31	0.33
PITG_21924	0.0	0.0	0.76	0.49
PITG_21959	11.35	0.0	8.2	6.32
PITG_21960	7.14	13.5	30.64	33.42
PITG_21961	0.0	9.07	2.12	2.93
PITG_21962	22.37	2.82	10.61	9.41
PITG_21916	455.55	330.42	47.99	49.69
PITG_21881	6.97	0.0	0.72	0.33
PITG_21623	0.0	0.0	0.65	0.54
PITG_21701	10.22	14.49	8.67	10.03
PITG_21940	0.0	0.0	2.44	2.64
PITG_21941	22.61	21.37	9.72	10.55
PITG_21872	4.74	0.0	11.14	10.86
PITG_21873	22.3	21.08	19.88	24.01
PITG_21937	5.5	5.2	0.32	0.26
PITG_21906	17.86	56.27	30.52	25.86
PITG_21907	0.0	0.0	12.0	10.83
PITG_21845	16.41	0.0	7.72	6.97
PITG_21665	6.38	0.0	1.35	1.26
PITG_21932	0.0	0.0	3.96	2.75
PITG_21913	0.0	0.0	1.19	1.61
PITG_21627	35.64	0.0	20.64	20.04
PITG_21687	0.0	8.1	2.36	1.85
PITG_21688	13.4	2.53	4.52	3.78
PITG_21794	0.0	0.0	1.2	1.1
PITG_21860	0.0	0.0	4.98	4.2
PITG_21846	0.0	0.0	0.18	0.19
PITG_21894	70.48	24.22	78.33	83.48
PITG_21850	0.0	0.0	1.15	0.3
PITG_21851	16.61	31.4	8.0	7.35
PITG_21836	41.92	67.92	42.99	47.08
PITG_23211	10.94	10.34	18.13	17.28
PITG_21784	0.0	0.0	1.05	1.33
PITG_21884	64.75	8.16	3.61	2.17
PITG_21852	0.0	0.0	4.52	4.3
PITG_21853	13.16	22.81	16.65	15.25
PITG_21854	0.0	0.0	4.07	3.6
PITG_21638	11.73	8.31	2.25	2.39
PITG_21639	7.85	29.66	34.73	35.72
PITG_21606	0.0	0.0	3.69	4.31
PITG_21607	17.44	16.48	11.4	11.65
PITG_21869	0.0	11.72	5.48	3.71
PITG_21561	0.0	0.0	1.51	1.42
PITG_21816	5.58	26.38	6.75	6.55
PITG_21448	0.0	20.08	14.62	16.78
PITG_21841	16.82	55.63	32.11	27.87
PITG_21842	0.0	12.23	39.54	41.33
PITG_21843	0.0	9.05	3.51	5.27
PITG_21645	0.0	0.0	5.37	4.06
PITG_21848	0.0	0.0	1.62	1.69
PITG_21827	6.14	11.61	9.51	11.1
PITG_21828	22.42	21.19	3.73	2.41
PITG_21779	0.0	21.49	4.37	4.9
PITG_21780	22.52	0.0	5.75	5.79
PITG_21781	26.38	16.62	1.87	2.53
PITG_21835	21.38	0.0	4.23	3.07
PITG_33506	2.98	0.0	0.24	0.36
PITG_21640	10.08	9.53	6.07	8.26
PITG_21820	0.0	0.0	2.95	1.14
PITG_21660	7.68	5.44	6.12	5.88
PITG_21661	11.94	11.29	3.22	3.36
PITG_21626	44.85	32.16	38.13	36.03
PITG_21311	0.0	3.08	1.23	1.01
PITG_21312	0.0	14.96	2.36	2.75
PITG_21313	51.91	65.42	23.96	30.23
PITG_21314	0.0	8.48	4.99	6.49
PITG_21315	0.0	0.0	0.28	0.34
PITG_21620	131.91	160.29	267.46	255.46
PITG_21621	28.23	17.79	49.53	48.52
PITG_21573	36.61	0.0	28.87	30.77
PITG_21574	0.0	27.15	2.86	3.32
PITG_21501	6.83	0.0	18.56	15.57
PITG_21502	0.0	0.0	11.54	12.86
PITG_21503	177.7	167.95	154.88	137.9
PITG_21504	22.3	14.05	11.21	10.18
PITG_21505	12.4	0.0	14.22	13.43
PITG_21708	0.0	6.59	25.18	27.11
PITG_21709	0.0	0.0	1.98	1.56
PITG_21308	0.0	5.21	3.19	3.2
PITG_21309	0.0	0.0	12.15	11.07
PITG_21310	0.0	39.43	4.31	3.12
PITG_21551	0.0	7.15	5.9	6.7
PITG_21552	0.0	0.0	5.06	5.03
PITG_21553	13.49	3.19	9.01	7.34
PITG_21554	3.96	0.0	0.32	0.09
PITG_21776	0.0	0.0	6.03	4.97
PITG_21737	0.0	0.0	5.59	8.63
PITG_21658	0.0	0.0	0.96	1.26
PITG_21610	10.98	10.38	6.74	5.32
PITG_33490	0.0	4.63	0.56	0.62
PITG_21321	45.61	9.24	31.05	28.85
PITG_21323	14.22	26.89	13.46	13.7
PITG_21324	0.0	0.0	0.34	0.81
PITG_21740	3.79	10.75	11.26	11.79
PITG_21641	49.13	28.58	37.32	34.05
PITG_21745	0.0	0.0	6.2	5.72
PITG_21618	5.58	10.55	5.51	4.54
PITG_21619	126.27	90.54	16.13	15.06
PITG_21540	120.19	139.03	78.76	81.59
PITG_21634	0.0	63.58	4.37	7.78
PITG_33498	6.35	0.0	0.29	0.49
PITG_21590	0.0	10.3	8.5	7.72
PITG_21591	20.7	19.56	22.37	24.15
PITG_21495	32.59	0.0	11.78	10.66
PITG_21567	0.0	41.83	1.73	0.64
PITG_21568	41.45	44.07	19.02	19.41
PITG_21569	0.0	0.0	0.52	1.08
PITG_21759	43.85	21.81	70.75	70.06
PITG_21761	0.0	0.0	13.21	12.88
PITG_21762	0.0	0.0	10.68	11.76
PITG_21763	5.97	11.28	11.36	10.71
PITG_21764	0.0	6.25	14.8	12.35
PITG_21765	8.79	0.0	26.27	25.2
PITG_21766	0.0	0.0	0.67	1.29
PITG_21767	0.0	9.6	0.64	1.52
PITG_21723	2.66	0.0	2.52	2.51
PITG_21724	20.46	22.56	7.67	8.08
PITG_21725	25.87	0.0	9.94	9.44
PITG_21726	0.0	0.0	8.45	6.62
PITG_21727	11.45	7.21	8.35	7.37
PITG_21728	0.0	0.0	1.17	2.26
PITG_21418	0.0	2.6	0.13	0.16
PITG_21720	29.16	39.37	31.05	29.01
PITG_21466	0.0	0.0	0.27	1.42
PITG_21468	0.0	13.25	20.94	20.54
PITG_21578	18.23	19.14	9.45	8.75
PITG_21579	34.55	10.88	16.77	17.43
PITG_21580	0.0	7.72	0.91	0.44
PITG_21581	0.0	30.64	4.71	3.88
PITG_21519	0.0	0.0	0.54	0.72
PITG_21521	0.0	16.6	2.69	2.14
PITG_21522	63.66	106.65	39.12	38.53
PITG_21523	251.06	300.16	46.68	44.68
PITG_21524	124.77	167.57	30.93	33.84
PITG_21525	7.34	8.32	10.08	10.5
PITG_21562	0.0	0.0	0.81	0.56
PITG_21446	5.44	10.28	6.83	5.3
PITG_21447	11.09	6.99	3.18	3.18
PITG_31615	0.0	0.0	3.21	3.35
PITG_33499	0.0	0.0	4.78	2.39
PITG_31617	0.0	0.0	9.37	10.92
PITG_31618	0.0	52.98	12.22	17.44
PITG_31619	0.0	0.0	29.63	36.06
PITG_21648	0.0	0.0	5.28	4.67
PITG_23206	0.0	15.7	5.91	5.76
PITG_21649	0.0	0.0	12.36	9.16
PITG_21650	12.5	11.81	11.23	14.4
PITG_21651	67.76	91.48	166.73	176.04
PITG_21652	10.35	4.89	35.31	33.37
PITG_21653	13.83	0.0	2.02	1.24
PITG_21291	0.0	0.0	0.37	0.27
PITG_21293	51.69	97.7	16.54	16.25
PITG_21295	26.24	0.0	20.91	20.62
PITG_23209	0.0	23.77	5.62	9.03
PITG_21743	15.08	14.25	75.64	73.87
PITG_21744	0.0	0.0	16.73	17.73
PITG_21509	0.0	6.69	3.49	3.05
PITG_21510	11.7	0.0	19.72	15.96
PITG_21511	0.0	4.02	0.83	0.76
PITG_21512	0.0	0.0	0.92	1.75
PITG_21514	39.43	9.32	9.1	6.25
PITG_21516	16.82	83.45	46.05	44.98
PITG_21517	12.15	16.41	22.56	21.69
PITG_21556	108.88	88.21	185.43	182.76
PITG_21557	15.03	14.21	1.29	1.17
PITG_21528	0.0	13.11	1.01	0.97
PITG_33492	0.0	0.0	0.55	0.48
PITG_21269	2.41	5.69	6.24	6.1
PITG_21364	0.0	0.0	5.52	4.16
PITG_21441	0.0	0.0	0.5	2.18
PITG_21222	19.52	24.13	18.93	16.3
PITG_21223	10.34	7.33	8.89	9.24
PITG_21425	0.0	0.0	4.01	2.2
PITG_21426	0.0	0.0	4.64	3.67
PITG_21716	30.23	42.86	14.3	18.09
PITG_21699	0.0	0.0	7.86	11.18
PITG_21668	0.0	17.96	9.55	8.23
PITG_21422	0.0	20.85	21.75	30.35
PITG_21643	41.5	68.65	63.43	72.51
PITG_21644	45.67	19.92	26.99	26.82
PITG_21593	0.0	16.96	9.09	10.17
PITG_23204	15.54	23.49	13.36	11.71
PITG_23205	70.81	58.56	28.83	24.41
PITG_21595	20.24	9.57	15.24	14.17
PITG_21596	180.6	176.38	104.15	106.14
PITG_21597	20.4	46.83	20.22	18.73
PITG_21598	13.99	4.41	10.32	8.31
PITG_21599	24.24	0.0	11.68	11.31
PITG_21600	19.69	6.2	6.96	5.22
PITG_21601	5.16	1.63	2.44	2.34
PITG_21602	0.0	0.0	1.54	0.43
PITG_21456	22.24	47.29	37.68	35.32
PITG_21457	4.09	0.0	1.5	0.86
PITG_21458	6.64	0.0	4.62	5.64
PITG_21507	11.63	3.66	1.41	1.48
PITG_21508	130.63	49.38	200.74	216.94
PITG_21617	22.69	27.88	3.28	3.99
PITG_21451	0.0	0.0	1.08	1.18
PITG_21452	0.0	0.0	1.82	1.03
PITG_21165	0.0	0.0	0.8	0.91
PITG_21316	93.43	70.65	43.03	40.96
PITG_21317	19.22	27.25	31.63	27.54
PITG_21255	3.73	3.52	0.32	0.33
PITG_21256	19.93	47.1	21.72	28.14
PITG_21257	83.97	47.62	84.56	86.61
PITG_21258	0.0	0.0	0.12	0.19
PITG_21350	0.0	11.4	7.44	8.41
PITG_21351	11.53	36.33	23.1	25.25
PITG_21352	0.0	2.72	3.5	2.98
PITG_21433	4.62	0.0	4.72	4.43
PITG_21435	0.0	0.0	0.67	0.93
PITG_21437	0.0	0.0	0.98	1.02
PITG_21196	24.46	23.12	22.44	19.76
PITG_21462	6.69	6.33	8.37	5.53
PITG_21463	0.0	0.0	0.33	0.62
PITG_21277	118.83	137.67	121.33	116.36
PITG_21278	171.76	202.92	142.95	162.14
PITG_21279	62.1	9.78	28.49	36.16
PITG_21394	108.18	83.07	71.8	73.33
PITG_21395	298.67	249.39	269.13	275.83
PITG_21396	78.12	39.38	79.38	77.34
PITG_21397	170.5	114.66	95.18	93.06
PITG_21398	120.3	107.9	70.03	71.53
PITG_21400	0.0	14.18	5.21	6.42
PITG_21401	13.34	6.31	5.2	6.73
PITG_21530	0.0	0.0	0.97	0.91
PITG_21532	0.0	0.0	0.68	0.29
PITG_21533	0.0	0.0	0.85	0.88
PITG_21534	7.39	0.0	0.85	0.97
PITG_21535	0.0	0.0	1.8	2.07
PITG_21536	0.0	0.0	2.28	1.65
PITG_21537	0.0	0.0	0.19	0.5
PITG_21538	0.0	0.0	0.12	0.25
PITG_21238	21.02	0.0	6.99	4.53
PITG_21389	59.03	20.92	36.05	35.14
PITG_21393	125.03	128.63	60.22	56.82
PITG_21064	0.0	19.34	5.34	3.73
PITG_21219	146.52	128.03	164.3	159.41
PITG_21220	0.0	0.0	5.1	5.46
PITG_21110	7.47	0.0	7.93	8.45
PITG_21111	0.0	0.0	15.43	12.72
PITG_21114	0.0	5.3	1.22	0.7
PITG_21115	0.0	0.0	4.51	3.97
PITG_21116	0.0	0.0	1.91	1.37
PITG_21117	24.94	45.01	90.58	82.46
PITG_21118	98.17	60.03	238.67	224.14
PITG_21384	0.0	8.77	4.68	5.88
PITG_21386	15.95	0.0	6.54	8.3
PITG_21387	7.69	0.0	1.76	0.83
PITG_23202	0.0	18.56	0.9	2.0
PITG_21388	325.37	415.56	487.11	490.75
PITG_21166	5.69	0.0	3.36	3.3
PITG_21367	34.35	64.93	129.32	120.23
PITG_21473	4.33	16.36	7.44	8.33
PITG_21410	1178.37	955.8	421.96	387.0
PITG_21479	5.18	4.9	5.35	5.4
PITG_21480	194.22	263.37	55.68	65.57
PITG_21481	0.0	0.0	2.28	3.23
PITG_21372	0.0	0.0	0.82	0.92
PITG_21163	4.84	0.0	3.83	3.45
PITG_21164	3.83	0.0	0.68	0.8
PITG_21488	0.0	0.0	1.57	1.81
PITG_21021	3.13	5.92	5.95	5.38
PITG_21022	37.72	33.82	26.15	26.02
PITG_21023	0.0	0.0	5.12	5.56
PITG_21024	0.0	0.0	0.91	0.69
PITG_21025	2.77	5.23	7.71	6.57
PITG_21026	27.1	18.3	28.73	28.19
PITG_21027	25.71	19.44	15.74	16.86
PITG_21028	18.31	12.98	10.92	12.7
PITG_21327	0.0	0.0	1.05	0.77
PITG_21328	0.0	0.0	4.57	5.04
PITG_21329	0.0	17.42	30.23	31.61
PITG_21330	3.85	0.0	1.1	0.99
PITG_21331	0.0	0.0	1.27	0.69
PITG_21333	0.0	0.0	1.07	1.61
PITG_21334	12.14	25.82	8.21	9.19
