GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref	Araport11	Araport11_Description	InterPro	InterPro_Description	SwissProt	SwissProt_Description	TrEMBL	TrEMBL_Description
PITG_00002	uncharacterized protein		protein_coding	NW_003303758.1:10097-10522	-	GeneID:9479803	AT3G10002.1		IPR000001;IPR000002					
PITG_00003	protein kinase		protein_coding	NW_003303758.1:38775-39071	+	GeneID:9476541	AT4G10003.1	protein kinase	IPR011009;IPR000719				A0AC34FC4D	
PITG_00004	protein kinase, putative		protein_coding	NW_003303758.1:39526-41494	+	GeneID:9476542	AT5G10004.1	protein kinase	IPR011009;IPR000719				A0A22DF04D	
PITG_00005	protein kinase, putative		protein_coding	NW_003303758.1:42014-43659	+	GeneID:9479454	AT1G10005.1	protein kinase	IPR011009;IPR000719				A0ADC8D8B8	
PITG_00006	uncharacterized protein		protein_coding	NW_003303758.1:95207-96036	+	GeneID:9479455	AT2G10006.1		IPR000001;IPR000002					
PITG_00009	uncharacterized protein		protein_coding	NW_003303758.1:209494-212840	+	GeneID:9479456	AT5G10009.1		IPR000001;IPR000002					
PITG_00010	uncharacterized protein		protein_coding	NW_003303758.1:213666-214400	+	GeneID:9479457	AT1G10010.1		IPR000001;IPR000002					
PITG_00011	uncharacterized protein		protein_coding	NW_003303758.1:217133-217723	+	GeneID:9479458	AT2G10011.1		IPR000001;IPR000002					
PITG_00012	uncharacterized protein		protein_coding	NW_003303758.1:218887-219522	+	GeneID:9479459	AT3G10012.1		IPR000001;IPR000002					
PITG_00013	uncharacterized protein		protein_coding	NW_003303758.1:220302-220709	+	GeneID:9479460	AT4G10013.1		IPR000001;IPR000002					
PITG_00014	26S proteasome non-ATPase regulatory subunit 13, putative		protein_coding	NW_003303758.1:222049-223390	-	GeneID:9479461	AT5G10014.1	26S proteasome non-ATPase regulatory subunit 13	IPR000001;IPR000002				A0ABA29797	
PITG_00015	DNA-binding protein, putative		protein_coding	NW_003303758.1:223819-224622	-	GeneID:9479462	AT1G10015.1	DNA-binding protein	IPR001356;IPR036388				A0A28739CF	
PITG_00016	DNA-binding protein, putative		protein_coding	NW_003303758.1:227775-228482	+	GeneID:9479463	AT2G10016.1	DNA-binding protein	IPR001356;IPR036388				A0A41A8DF2	
PITG_00019	uncharacterized protein		protein_coding	NW_003303758.1:253879-255009	-	GeneID:9479464	AT5G10019.1		IPR000001;IPR000002					
PITG_00020	uncharacterized protein		protein_coding	NW_003303758.1:255282-258066	+	GeneID:9479465	AT1G10020.1		IPR000001;IPR000002					
PITG_00021	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily		protein_coding	NW_003303758.1:258927-260549	+	GeneID:9479466	AT2G10021.1	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily	IPR000001;IPR000002				A0ACD85A8C	
PITG_00022	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily		protein_coding	NW_003303758.1:260777-262409	-	GeneID:9479467	AT3G10022.1	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily	IPR000001;IPR000002				A0AED57007	
PITG_00023	mitoferrin-like protein		protein_coding	NW_003303758.1:272998-274809	+	GeneID:9479468	AT4G10023.1	mitoferrin-like protein	IPR000001;IPR000002	Q772D4	Q772D4		A0A490C233	
PITG_00024	uncharacterized protein		protein_coding	NW_003303758.1:275094-277052	+	GeneID:9479469	AT5G10024.1		IPR000001;IPR000002					
PITG_00025	uncharacterized protein		protein_coding	NW_003303758.1:277115-278945	-	GeneID:9479470	AT1G10025.1		IPR000001;IPR000002					
PITG_00026	ankyrin-like protein		protein_coding	NW_003303758.1:279519-280908	+	GeneID:9479471	AT2G10026.1	ankyrin-like protein	IPR000001;IPR000002	Q08B82	Q08B82		A0AA1C8577	
PITG_00027	uncharacterized protein		protein_coding	NW_003303758.1:281175-281825	-	GeneID:9479472	AT3G10027.1		IPR000001;IPR000002					
PITG_00028	aminoacylase-1, putative		protein_coding	NW_003303758.1:281895-283554	+	GeneID:9479473	AT4G10028.1	aminoacylase-1	IPR000001;IPR000002	Q24EC4	Q24EC4		A0ADF8B4FF	
PITG_00029	aminoacylase-1, putative		protein_coding	NW_003303758.1:283681-285297	+	GeneID:9476532	AT5G10029.1	aminoacylase-1	IPR000001;IPR000002	Q24EC4	Q24EC4		A0A8908D76	
PITG_00030	uncharacterized protein		protein_coding	NW_003303758.1:285954-287069	+	GeneID:9476533	AT1G10030.1		IPR000001;IPR000002					
PITG_00031	uncharacterized protein		protein_coding	NW_003303758.1:287352-288233	-	GeneID:9476534	AT2G10031.1		IPR000001;IPR000002					
PITG_00032	exonuclease, putative		protein_coding	NW_003303758.1:289086-290803	+	GeneID:9476535	AT3G10032.1	exonuclease	IPR000001;IPR000002	Q63DD2	Q63DD2		A0ABA73327	
PITG_00033	uncharacterized protein		protein_coding	NW_003303758.1:291309-292197	-	GeneID:9476536	AT4G10033.1		IPR000001;IPR000002					
PITG_00034	aldehyde dehydrogenase, putative		protein_coding	NW_003303758.1:293077-295047	+	GeneID:9476537	AT5G10034.1	aldehyde dehydrogenase	IPR001327;IPR016040	Q188B6	Q188B6		A0AE887614	
PITG_00035	60S ribosomal export protein NMD3, putative		protein_coding	NW_003303758.1:295409-297147	-	GeneID:9476538	AT1G10035.1	60S ribosomal export protein NMD3	IPR000504;IPR012336	Q31347	Q31347		A0AC6A9154	
PITG_00036	U3 small nucleolar RNA-associated protein 6		protein_coding	NW_003303758.1:297756-299811	-	GeneID:9476539	AT2G10036.1	U3 small nucleolar RNA-associated protein 6	IPR000504;IPR012336				A0A022E570	
PITG_00037	uncharacterized protein		protein_coding	NW_003303758.1:299950-301256	+	GeneID:9476540	AT3G10037.1		IPR000001;IPR000002					
PITG_00038	myb-like DNA-binding protein, putative		protein_coding	NW_003303758.1:301513-304415	-	GeneID:9476543	AT4G10038.1	myb-like DNA-binding protein	IPR001356;IPR036388				A0A166A043	
PITG_00039	telomere length regulation protein TEL2		protein_coding	NW_003303758.1:304763-307092	-	GeneID:9476544	AT5G10039.1	telomere length regulation protein TEL2	IPR000001;IPR000002	Q22F01	Q22F01		A0AD280195	
PITG_00040	uncharacterized protein		protein_coding	NW_003303758.1:317550-320869	+	GeneID:9476545	AT1G10040.1		IPR000001;IPR000002					
PITG_00041	carbohydrate esterase, putative		protein_coding	NW_003303758.1:441468-442192	+	GeneID:9476562	AT2G10041.1	carbohydrate esterase	IPR000001;IPR000002				A0AFD8C9F5	
PITG_00042	uncharacterized protein		protein_coding	NW_003303758.1:445575-445936	+	GeneID:9476563	AT3G10042.1		IPR000001;IPR000002					
PITG_00043	uncharacterized protein		protein_coding	NW_003303758.1:446530-448666	-	GeneID:9476564	AT4G10043.1		IPR000001;IPR000002					
PITG_00044	uncharacterized protein		protein_coding	NW_003303758.1:449137-449746	-	GeneID:9476565	AT5G10044.1		IPR000001;IPR000002					
PITG_00045	myosin-like protein		protein_coding	NW_003303758.1:450919-455161	+	GeneID:9476566	AT1G10045.1	myosin-like protein	IPR000001;IPR000002				A0A8E03B6E	
PITG_00046	sporangia induced conserved hypothetical protein		protein_coding	NW_003303758.1:455284-457902	-	GeneID:9476567	AT2G10046.1	sporangia induced conserved hypothetical protein	IPR000001;IPR000002				A0AFDDA898	
PITG_00047	uncharacterized protein		protein_coding	NW_003303758.1:458278-461083	+	GeneID:9476568	AT3G10047.1		IPR000001;IPR000002					
PITG_00048	uncharacterized protein		protein_coding	NW_003303758.1:461174-462403	-	GeneID:9476569	AT4G10048.1		IPR000001;IPR000002					
PITG_00049	uncharacterized protein		protein_coding	NW_003303758.1:462601-464598	+	GeneID:9476570	AT5G10049.1		IPR000001;IPR000002					
PITG_00050	uncharacterized protein		protein_coding	NW_003303758.1:464646-466564	-	GeneID:9476571	AT1G10050.1		IPR000001;IPR000002					
PITG_00051	DNA-directed RNA polymerase III subunit RPC6, putative		protein_coding	NW_003303758.1:466698-467990	-	GeneID:9476572	AT2G10051.1	DNA-directed RNA polymerase III subunit RPC6	IPR000504;IPR012336				A0A3F3D134	
PITG_00052	periodic tryptophan protein 2		protein_coding	NW_003303758.1:468136-471005	+	GeneID:9476573	AT3G10052.1	periodic tryptophan protein 2	IPR000001;IPR000002				A0A5F29D39	
PITG_00053	WD domain-containing protein		protein_coding	NW_003303758.1:471109-472358	-	GeneID:9476574	AT4G10053.1	WD domain-containing protein	IPR002048;IPR016024				A0AB2288AE	
PITG_00054	Mitochondrial Protein Translocase (MPT) Family		protein_coding	NW_003303758.1:472489-473399	+	GeneID:9476575	AT5G10054.1	Mitochondrial Protein Translocase (MPT) Family	IPR000001;IPR000002				A0A1E6B2FC	
PITG_00055	uncharacterized protein		protein_coding	NW_003303758.1:473475-474809	-	GeneID:9476576	AT1G10055.1		IPR000001;IPR000002					
PITG_00056	uncharacterized protein		protein_coding	NW_003303758.1:475065-476616	-	GeneID:9476577	AT2G10056.1		IPR000001;IPR000002					
PITG_00058	protease inhibitor EpiC4		protein_coding	NW_003303758.1:516889-517407	+	GeneID:9476578	AT4G10058.1	protease inhibitor EpiC4	IPR001563;IPR024079				A0A007B73F	
PITG_00059	uncharacterized protein		protein_coding	NW_003303758.1:519897-520832	+	GeneID:9476579	AT5G10059.1		IPR000001;IPR000002					
PITG_00060	uncharacterized protein		protein_coding	NW_003303758.1:520949-521595	-	GeneID:9476580	AT1G10060.1		IPR000001;IPR000002					
PITG_00061	uncharacterized protein		protein_coding	NW_003303758.1:522511-522831	-	GeneID:9476581	AT2G10061.1		IPR000001;IPR000002					
PITG_00062	Mitochondrial Protein Translocase (MPT) Family		protein_coding	NW_003303758.1:523260-523571	+	GeneID:9476582	AT3G10062.1	Mitochondrial Protein Translocase (MPT) Family	IPR000001;IPR000002				A0A0A7D054	
PITG_00063	mitogen activated protein kinase 7		protein_coding	NW_003303758.1:523861-525380	-	GeneID:9476583	AT4G10063.1	mitogen activated protein kinase 7	IPR011009;IPR000719	Q4A078	Q4A078		A0A5ED144A	
PITG_00064	uncharacterized protein		protein_coding	NW_003303758.1:525672-527243	+	GeneID:9476584	AT5G10064.1		IPR000001;IPR000002					
PITG_00065	uncharacterized protein		protein_coding	NW_003303758.1:527379-529763	-	GeneID:9476585	AT1G10065.1		IPR000001;IPR000002					
PITG_00066	uncharacterized protein		protein_coding	NW_003303758.1:530170-534006	+	GeneID:9476586	AT2G10066.1		IPR000001;IPR000002					
PITG_00067	uncharacterized protein		protein_coding	NW_003303758.1:534009-536394	-	GeneID:9476587	AT3G10067.1		IPR000001;IPR000002					
PITG_00068	cleavage induced conserved hypothetical protein		protein_coding	NW_003303758.1:537458-538345	+	GeneID:9476588	AT4G10068.1	cleavage induced conserved hypothetical protein	IPR000001;IPR000002				A0AC53DF36	
PITG_00069	uncharacterized protein		protein_coding	NW_003303758.1:541810-543568	-	GeneID:9476589	AT5G10069.1		IPR000001;IPR000002					
PITG_00070	uncharacterized protein		protein_coding	NW_003303758.1:544099-546250	-	GeneID:9476590	AT1G10070.1		IPR000001;IPR000002					
PITG_00071	DNA replication complex GINS protein PSF1		protein_coding	NW_003303758.1:546365-547394	-	GeneID:9476591	AT2G10071.1	DNA replication complex GINS protein PSF1	IPR000001;IPR000002	Q43206	Q43206		A0A09A4EFF	
PITG_00072	uncharacterized protein		protein_coding	NW_003303758.1:547500-552753	+	GeneID:9476592	AT3G10072.1		IPR000001;IPR000002					
PITG_00073	calcium/calmodulin-dependent protein kinase, putative		protein_coding	NW_003303758.1:552812-554350	-	GeneID:9476593	AT4G10073.1	calcium/calmodulin-dependent protein kinase	IPR011009;IPR000719				A0AD3F0CEB	
PITG_00074	uncharacterized protein		protein_coding	NW_003303758.1:554755-556017	+	GeneID:9476594	AT5G10074.1		IPR000001;IPR000002					
PITG_00075	uncharacterized protein		protein_coding	NW_003303758.1:556960-561312	-	GeneID:9476595	AT1G10075.1		IPR000001;IPR000002					
PITG_00076	uncharacterized protein		protein_coding	NW_003303758.1:561562-562241	-	GeneID:9476596	AT2G10076.1		IPR000001;IPR000002					
PITG_00077	ubiquitin-specific protease, putative		protein_coding	NW_003303758.1:566327-570862	+	GeneID:9476597	AT3G10077.1	ubiquitin-specific protease	IPR001563;IPR024079				A0A1DE6A5B	
PITG_00078	kinesin-like protein		protein_coding	NW_003303758.1:571453-574206	-	GeneID:9476598	AT4G10078.1	kinesin-like protein	IPR000001;IPR000002				A0A832642C	
PITG_00079	protein kinase		protein_coding	NW_003303758.1:575621-576775	+	GeneID:9476599	AT5G10079.1	protein kinase	IPR011009;IPR000719				A0A469E058	
PITG_00080	protein kinase		protein_coding	NW_003303758.1:576866-578150	+	GeneID:9476600	AT1G10080.1	protein kinase	IPR011009;IPR000719				A0ABBC29C4	
PITG_00081	protein kinase, putative		protein_coding	NW_003303758.1:578573-581079	+	GeneID:9476601	AT2G10081.1	protein kinase	IPR011009;IPR000719				A0A0C510D1	
PITG_00082	monovalent Cation:Proton Antiporter-2 (CPA2) family		protein_coding	NW_003303758.1:581243-583410	-	GeneID:9476602	AT3G10082.1	monovalent Cation:Proton Antiporter-2 (CPA2) family	IPR000001;IPR000002				A0A4721A1B	
PITG_00083	uncharacterized protein		protein_coding	NW_003303758.1:583814-584770	+	GeneID:9476603	AT4G10083.1		IPR000001;IPR000002					
PITG_00084	uncharacterized protein		protein_coding	NW_003303758.1:585822-587427	+	GeneID:9476604	AT5G10084.1		IPR000001;IPR000002					
PITG_00088	pre-mRNA-splicing factor cwc2, putative		protein_coding	NW_003303758.1:643976-645322	-	GeneID:9476605	AT4G10088.1	pre-mRNA-splicing factor cwc2	IPR000504;IPR012336				A0AAD95721	
PITG_00089	GTP-binding protein SAR1		protein_coding	NW_003303758.1:646329-647283	-	GeneID:9476606	AT5G10089.1	GTP-binding protein SAR1	IPR002048;IPR016024	Q426B3	Q426B3		A0A1D94EA1	
PITG_00090	vacuolar sorting protein SNF8		protein_coding	NW_003303758.1:647500-648479	+	GeneID:9476607	AT1G10090.1	vacuolar sorting protein SNF8	IPR000001;IPR000002				A0AEEEFC81	
PITG_00093	uncharacterized protein		protein_coding	NW_003303758.1:670322-671182	+	GeneID:9476608	AT4G10093.1		IPR000001;IPR000002					
PITG_00094	uncharacterized protein		protein_coding	NW_003303758.1:674948-679349	-	GeneID:9476609	AT5G10094.1		IPR000001;IPR000002					
PITG_00095	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303758.1:680078-681757	-	GeneID:9476610	AT1G10095.1	Major Facilitator Superfamily (MFS)	IPR000001;IPR000002				A0AB61AF29	
PITG_00096	uncharacterized protein		protein_coding	NW_003303758.1:686626-687529	-	GeneID:9476611	AT2G10096.1		IPR000001;IPR000002					
PITG_00097	uncharacterized protein		protein_coding	NW_003303758.1:688194-696153	+	GeneID:9476692	AT3G10097.1		IPR000001;IPR000002					
PITG_00098	HECT E3 ubiquitin ligase, putative		protein_coding	NW_003303758.1:697374-701050	+	GeneID:9476693	AT4G10098.1	HECT E3 ubiquitin ligase	IPR000001;IPR000002				A0AC9BD87C	
PITG_00099	uncharacterized protein		protein_coding	NW_003303758.1:711549-712694	-	GeneID:9476694	AT5G10099.1		IPR000001;IPR000002					
PITG_00100	uncharacterized protein		protein_coding	NW_003303758.1:714513-715373	+	GeneID:9476695	AT1G10100.1		IPR000001;IPR000002					
PITG_00101	HECT E3 ubiquitin ligase, putative		protein_coding	NW_003303758.1:716759-723554	-	GeneID:9476696	AT2G10101.1	HECT E3 ubiquitin ligase	IPR000001;IPR000002				A0AB64C1CD	
PITG_00102	uncharacterized protein		protein_coding	NW_003303758.1:730912-731758	+	GeneID:9476697	AT3G10102.1		IPR000001;IPR000002					
PITG_00103	sugar transporter, putative		protein_coding	NW_003303758.1:744028-745575	+	GeneID:9476698	AT4G10103.1	sugar transporter	IPR003439;IPR003593	Q2D644	Q2D644		A0A58EBCDF	
PITG_00104	uncharacterized protein		protein_coding	NW_003303758.1:746336-748653	+	GeneID:9476699	AT5G10104.1		IPR000001;IPR000002					
PITG_00106	uncharacterized protein		protein_coding	NW_003303758.1:769830-770940	+	GeneID:9476700	AT2G10106.1		IPR000001;IPR000002					
PITG_00107	uncharacterized protein		protein_coding	NW_003303758.1:789089-790331	+	GeneID:9476701	AT3G10107.1		IPR000001;IPR000002					
PITG_00108	phospholipase D, putative		protein_coding	NW_003303758.1:799735-800771	-	GeneID:9476702	AT4G10108.1	phospholipase D	IPR000001;IPR000002	Q75009	Q75009		A0A18D2FCF	
PITG_00109	DEAD/DEAH box RNA helicase, putative		protein_coding	NW_003303758.1:825758-827314	+	GeneID:9476704	AT5G10109.1	DEAD/DEAH box RNA helicase	IPR000504;IPR012336				A0AC308FFB	
PITG_00110	cytochrome c1 heme lyase, putative		protein_coding	NW_003303758.1:827690-828512	+	GeneID:9476705	AT1G10110.1	cytochrome c1 heme lyase	IPR001128;IPR017972				A0AC9ECB59	
PITG_00111	kinesin-like protein		protein_coding	NW_003303758.1:828603-830753	+	GeneID:9476706	AT2G10111.1	kinesin-like protein	IPR000001;IPR000002				A0AD4F8F98	
PITG_00112	uncharacterized protein		protein_coding	NW_003303758.1:832523-833070	-	GeneID:9476707	AT3G10112.1		IPR000001;IPR000002					
PITG_00113	protein kinase		protein_coding	NW_003303758.1:833335-834116	+	GeneID:9476708	AT4G10113.1	protein kinase	IPR011009;IPR000719				A0A3210B24	
PITG_00114	uncharacterized protein		protein_coding	NW_003303758.1:835321-836131	+	GeneID:9476709	AT5G10114.1		IPR000001;IPR000002					
PITG_00115	protein kinase, putative		protein_coding	NW_003303758.1:837848-839260	+	GeneID:9476710	AT1G10115.1	protein kinase	IPR011009;IPR000719				A0AF7362F9	
PITG_00116	SUMO ligase, putative		protein_coding	NW_003303758.1:839729-842096	+	GeneID:9476711	AT2G10116.1	SUMO ligase	IPR000001;IPR000002				A0A385E30B	
PITG_00117	splicing factor 3A		protein_coding	NW_003303758.1:842279-844183	+	GeneID:9476712	AT3G10117.1	splicing factor 3A	IPR000001;IPR000002				A0A3A3F670	
PITG_00118	uncharacterized protein		protein_coding	NW_003303758.1:844534-845157	+	GeneID:9476713	AT4G10118.1		IPR000001;IPR000002					
PITG_00119	uncharacterized protein		protein_coding	NW_003303758.1:845412-846500	+	GeneID:9476714	AT5G10119.1		IPR000001;IPR000002					
PITG_00121	sporangia induced predicted protein		protein_coding	NW_003303758.1:863713-864858	-	GeneID:9476715	AT2G10121.1	sporangia induced predicted protein	IPR000001;IPR000002				A0AE61B05B	
