GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref
PITG_00002	uncharacterized protein		protein_coding	NW_003303758.1:10097-10522	-	GeneID:9479803
PITG_00003	protein kinase		protein_coding	NW_003303758.1:38775-39071	+	GeneID:9476541
PITG_00004	protein kinase, putative		protein_coding	NW_003303758.1:39526-41494	+	GeneID:9476542
PITG_00005	protein kinase, putative		protein_coding	NW_003303758.1:42014-43659	+	GeneID:9479454
PITG_00006	uncharacterized protein		protein_coding	NW_003303758.1:95207-96036	+	GeneID:9479455
PITG_00009	uncharacterized protein		protein_coding	NW_003303758.1:209494-212840	+	GeneID:9479456
PITG_00010	uncharacterized protein		protein_coding	NW_003303758.1:213666-214400	+	GeneID:9479457
PITG_00011	uncharacterized protein		protein_coding	NW_003303758.1:217133-217723	+	GeneID:9479458
PITG_00012	uncharacterized protein		protein_coding	NW_003303758.1:218887-219522	+	GeneID:9479459
PITG_00013	uncharacterized protein		protein_coding	NW_003303758.1:220302-220709	+	GeneID:9479460
PITG_00014	26S proteasome non-ATPase regulatory subunit 13, putative		protein_coding	NW_003303758.1:222049-223390	-	GeneID:9479461
PITG_00015	DNA-binding protein, putative		protein_coding	NW_003303758.1:223819-224622	-	GeneID:9479462
PITG_00016	DNA-binding protein, putative		protein_coding	NW_003303758.1:227775-228482	+	GeneID:9479463
PITG_00019	uncharacterized protein		protein_coding	NW_003303758.1:253879-255009	-	GeneID:9479464
PITG_00020	uncharacterized protein		protein_coding	NW_003303758.1:255282-258066	+	GeneID:9479465
PITG_00021	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily		protein_coding	NW_003303758.1:258927-260549	+	GeneID:9479466
PITG_00022	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily		protein_coding	NW_003303758.1:260777-262409	-	GeneID:9479467
PITG_00023	mitoferrin-like protein		protein_coding	NW_003303758.1:272998-274809	+	GeneID:9479468
PITG_00024	uncharacterized protein		protein_coding	NW_003303758.1:275094-277052	+	GeneID:9479469
PITG_00025	uncharacterized protein		protein_coding	NW_003303758.1:277115-278945	-	GeneID:9479470
PITG_00026	ankyrin-like protein		protein_coding	NW_003303758.1:279519-280908	+	GeneID:9479471
PITG_00027	uncharacterized protein		protein_coding	NW_003303758.1:281175-281825	-	GeneID:9479472
